#,Page Name,Route,Section Group,Localhost URL,Production URL,Page Type,Priority,Lighthouse,Gemini CLI,Claude AI,User Manual,Primary Auditor,Performance Checks,SEO Checks,Accessibility Checks,Security Checks,Content Checks,UX/UI Checks,Functional Checks,Audit Status,Notes
41,Privacy Policy,/legal/privacy,Legal,http://localhost:3000/legal/privacy,https://cloudbasket.in/legal/privacy,Static - Legal,HIGH,No,Yes,Yes,No,Claude AI + Gemini CLI,Fast text load,Title: Privacy Policy - CloudBasket; Meta desc; Canonical; Sitemap,Readable font 16px+; Heading structure; TOC with anchor links,Low risk; Ensure HTTPS link to policy in all forms,Indian IT Act 2000 + 2008 Amendment compliance; PDPA/DPDPA 2023 compliant; Data collected listed; Third parties listed (Supabase/Stripe/etc.); Retention period stated; User rights stated; Grievance officer contact; Last updated date current,Readable typography; Print-friendly; TOC navigation; Mobile readable,Anchor links in TOC work; All linked contacts/emails work; PDF download if present works,Not Started,Must comply with India's Digital Personal Data Protection Act 2023
42,Terms of Service,/legal/terms,Legal,http://localhost:3000/legal/terms,https://cloudbasket.in/legal/terms,Static - Legal,HIGH,No,Yes,Yes,No,Claude AI + Gemini CLI,Fast text load,Title: Terms of Service - CloudBasket; Meta desc; Canonical; Sitemap,Readable font; Heading structure; TOC,Low risk,Indian Consumer Protection Act 2019 compliant; Governing law clause (India); Dispute resolution stated; Affiliate disclaimer present; POD product terms; IP/copyright clause; Account termination terms; Last updated date current,Readable typography; TOC navigation; Print-friendly; Mobile readable,TOC anchor links work; Contact/email links work; PDF download works if present,Not Started,Governing law should be India — verify jurisdiction clause
43,Cookies Policy,/legal/cookies,Legal,http://localhost:3000/legal/cookies,https://cloudbasket.in/legal/cookies,Static - Legal,MEDIUM,No,No,Yes,No,Claude AI,Fast text load,Title: Cookies Policy - CloudBasket; Meta desc; Canonical; Sitemap,Readable font; Heading structure,Low risk,Cookie categories listed (essential/analytics/marketing); Third-party cookies disclosed; How to opt out explained; Last updated current,Readable; Mobile readable,Anchor links work; Cookie management link works if present,Not Started,Ensure cookie policy matches actual cookies set — audit with browser DevTools
44,Disclaimer,/legal/disclaimer,Legal,http://localhost:3000/legal/disclaimer,https://cloudbasket.in/legal/disclaimer,Static - Legal,MEDIUM,No,No,Yes,No,Claude AI,Fast text load,Title: Disclaimer - CloudBasket; Meta desc; Canonical; Sitemap,Readable; Heading structure,Low risk,Affiliate disclaimer; Accuracy disclaimer for price data; No financial advice disclaimer; AI content disclaimer if applicable; Last updated current,Readable; Mobile readable; Print-friendly,All links in disclaimer text work,Not Started,Critical for affiliate site — ensure price accuracy disclaimer is strong
45,Disclaimer PDF,/legal/disclaimer/pdf,Legal,http://localhost:3000/legal/disclaimer/pdf,https://cloudbasket.in/legal/disclaimer/pdf,Static - PDF View,LOW,No,No,Yes,No,Claude AI,Fast PDF render,Noindex — PDF version; Canonical points to /legal/disclaimer,PDF accessible; Alt text,Low risk,Same content as /legal/disclaimer; PDF correctly formatted; Logo present; Date on PDF,PDF renders correctly; Printable,PDF renders; Download button works if present; Content matches HTML version,Not Started,Noindex this — avoid duplicate content with HTML version
46,DMCA,/legal/dmca,Legal,http://localhost:3000/legal/dmca,https://cloudbasket.in/legal/dmca,Static - Legal,MEDIUM,No,No,Yes,No,Claude AI,Fast text load,Title: DMCA Policy - CloudBasket; Meta desc; Canonical; Sitemap,Readable; Heading structure,Low risk,DMCA takedown procedure stated; Contact for DMCA agent correct; Counter-notice procedure; Copyright agent info; Last updated,Readable; Mobile readable,DMCA contact email link works,Not Started,Verify DMCA agent contact email is monitored
47,Accessibility,/legal/accessibility,Legal,http://localhost:3000/legal/accessibility,https://cloudbasket.in/legal/accessibility,Static - Legal,MEDIUM,No,No,Yes,Yes,Claude AI + User,Fast text load,Title: Accessibility Statement - CloudBasket; Meta desc; Canonical; Sitemap,Readable; Heading structure; This page itself must be accessible,Low risk,WCAG 2.1 AA commitment stated; Known issues listed; Contact for accessibility requests; Last updated,Readable; Mobile; Print-friendly,Accessibility contact email/form works,Not Started,The accessibility page itself must pass WCAG 2.1 AA — meta requirement
48,Refund Policy,/legal/refund-policy,Legal,http://localhost:3000/legal/refund-policy,https://cloudbasket.in/legal/refund-policy,Static - Legal,HIGH,No,Yes,Yes,No,Claude AI + Gemini CLI,Fast text load,Title: Refund Policy - CloudBasket; Meta desc; Canonical; Sitemap,Readable; Heading structure,Low risk,Consumer Protection Act 2019 compliant; POD refund terms (custom items); Affiliate purchase refund note (directed to retailer); Timeline for refunds; Contact for disputes; Last updated current,Readable; Mobile; Print-friendly,TOC anchor links work; Contact links work; PDF download if present,Not Started,POD refund policy must clearly state custom items may not be refundable
49,Refund Policy PDF,/legal/refund-policy/pdf,Legal,http://localhost:3000/legal/refund-policy/pdf,https://cloudbasket.in/legal/refund-policy/pdf,Static - PDF View,LOW,No,No,Yes,No,Claude AI,Fast PDF render,Noindex — PDF version; Canonical to /legal/refund-policy,PDF accessible,Low risk,Same as HTML; Formatted correctly; Date on PDF; Logo present,PDF renders; Printable,PDF renders; Content matches HTML version,Not Started,Noindex — duplicate of HTML version
50,Grievance Officer,/legal/grievance-officer,Legal,http://localhost:3000/legal/grievance-officer,https://cloudbasket.in/legal/grievance-officer,Static - Legal,HIGH,No,No,Yes,No,Claude AI,Fast text load,Title: Grievance Officer - CloudBasket; Meta desc; Canonical; Sitemap,Readable; Heading structure,Low risk,Indian IT Act 2000 Rule 3(11) mandatory; Officer name; Designation; Contact email; Response timeline (acknowledge within 24h; resolve within 15 days per IT Act); Physical address for notices,Readable; Mobile,Grievance officer email works; Physical address correct if listed,Not Started,Mandatory under Indian IT Act 2000 — non-compliance = legal risk
51,Legal Affiliate Disclosure,/legal/affiliate-disclosure,Legal,http://localhost:3000/legal/affiliate-disclosure,https://cloudbasket.in/legal/affiliate-disclosure,Static - Legal,MEDIUM,No,No,Yes,No,Claude AI,Fast text load,Title: Affiliate Disclosure (Legal) - CloudBasket; Canonical; Consider 301 to /affiliate-disclosure if duplicate,Readable,Low risk,Check if duplicate of /affiliate-disclosure; If so — 301 redirect one to the other; If unique — ensure ASCI+FTC compliant; Networks disclosed,Readable; Mobile,Links in disclosure work; 301 redirect if applicable,Not Started,Investigate if this duplicates /affiliate-disclosure — canonical or 301 redirect
52,Sitemap Page,/sitemap-page,Utility,http://localhost:3000/sitemap-page,https://cloudbasket.in/sitemap-page,Static - Sitemap,LOW,No,No,Yes,No,Claude AI,Fast text load; List renders fast,Title: Sitemap - CloudBasket; H1; Canonical; Link from footer,Readable list; Keyboard nav; All links descriptive,Low risk,All active pages listed; No broken links; Grouped by section; Legal pages listed; API routes not listed,Readable list layout; Mobile,All listed links navigate correctly; No 404 links in sitemap,Not Started,Audit link health — all sitemap links must resolve
53,Offline,/offline,Utility,http://localhost:3000/offline,https://cloudbasket.in/offline,PWA - Offline,MEDIUM,No,No,Yes,Yes,Claude AI + User,Must load from cache — no network; Minimal assets; ServiceWorker scope,Noindex; No SEO required for offline page,Heading readable; Retry button labeled; Message clear,Low risk — no network requests expected,Friendly offline message; Retry button; Brand logo shows; No broken assets,Brand consistent; Mobile responsive; Simple clean layout,Page renders offline (test with DevTools offline mode); Retry button checks connection; Logo loads from cache,Not Started,Test with DevTools → Network → Offline mode — page must render
54,Feature Disabled,/feature-disabled,Utility,http://localhost:3000/feature-disabled,https://cloudbasket.in/feature-disabled,Utility - State Page,LOW,No,No,Yes,Yes,Claude AI + User,Fast render; Minimal assets,Noindex; Title: Feature Temporarily Unavailable,Accessible message; Button labeled,Low risk,Message explains feature is disabled; Contact info or alternative offered; No technical error details exposed to user,Clean design; Brand consistent; CTA to home or contact,Page renders correctly; CTA navigates correctly; No technical stack info leaked,Not Started,Ensure no internal error details are exposed
55,Unsubscribed,/unsubscribed,Utility,http://localhost:3000/unsubscribed,https://cloudbasket.in/unsubscribed,Utility - Confirmation,LOW,No,No,Yes,Yes,Claude AI + User,Fast render,Noindex; Title: Unsubscribed from CloudBasket,Accessible message; CTA labeled,Unsubscribe token in URL should be validated server-side; One-time use token; No re-subscribe without consent,Confirmation message clear; Offer to re-subscribe option; Support contact if unsubscribed in error,Clean; Brand consistent; Friendly message,Unsubscribe confirmed in database; Token validated; Re-subscribe link works if offered; No double-unsubscribe error,Not Started,Verify unsubscribe token validation — prevent CSRF unsubscription
56,Affiliate Redirect,/go/[id],Special,http://localhost:3000/go/abc123,https://cloudbasket.in/go/abc123,Server Route - Redirect,CRITICAL,No,No,Yes,Yes,Claude AI + User,Server-side redirect — should be instant < 100ms; No client render; 302 redirect to affiliate URL,Noindex — redirect route; No meta needed,N/A — instant redirect,ID validated against database — no open redirect vulnerability; Malicious URL injection prevention; Affiliate ID logged server-side; Rate limiting; No redirect to non-whitelisted domains; Log click before redirect,N/A — redirect route,N/A — redirect route,ID resolves to correct affiliate URL; Click logged in analytics; Rate limit triggers on abuse; Invalid ID returns 404 or redirect to home; No open redirect with arbitrary URL injection,Not Started,CRITICAL SECURITY: must prevent open redirect — never redirect to arbitrary URLs from this route
